model,acc,f1,auc,eps,spearman,iou,deletion_auc,insertion_auc,faith_agreement,latency_cpu_ms,size_mb,params_m,speedup_vs_teacher,source_note
Teacher FP32,0.9806451612903225,0.9868651488616462,0.9970003773788344,1.0,1.0,1.0,0.7008338890421631,0.7006760698960636,1.0,822.57,57.32,14.999,1.0,"FP32 reference @ Kaggle CPU (Intel Xeon, fbgemm)"
Distilled student (FP32),0.9864516129032258,0.9908496732026144,0.9975308641975309,0.5718680400842163,0.6454175752289172,0.4983185049395154,0.6940166243855205,0.6988190228405687,0.7407,314.61,6.62,1.695,2.61,"FP32 distilled student @ Kaggle CPU (Intel Xeon, fbgemm)"
Naive INT8 attention (strawman),0.9864516129032258,0.9908496732026144,0.9978155156612216,0.5633777463844033,0.6409672242762635,0.48578826849254303,0.7002046216710919,0.7016278339931893,0.6914,257.38,4.6,1.695,3.2,"Naive PTQ: softmax/LN/sigmoid quantized, per-tensor"
"GAQ-INT8 (PTQ, ours)",0.9870967741935484,0.99128160418483,0.9980699768181573,0.5747762347608467,0.6551359020802958,0.49441656744139756,0.693934168386948,0.6986607395542603,0.7337,260.02,4.6,1.695,3.16,"Hybrid PTQ: INT8 linears (per-channel, percentile calib), softmax/LN/sigmoid FP32"
GAQ-QAT (ours),0.9858064516129033,0.9903677758318739,0.9977799342282603,0.5895745338295871,0.6721545614909432,0.506994506168231,0.6982123164141973,0.6949871344027232,0.7171,361.44,4.6,1.695,2.28,QAT 3ep over calibrated GAQ-INT8
